Query,Expected,Response,Pages,Exact Match,Token F1,Token P,Token R,BLEU-1,BLEU-2,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1,BERTScore P,BERTScore R,Semantic Similarity,Faithfulness,Answer Relevancy,Context Recall,Latency (s),Tokens/sec
Is routine heart rhythm assessment recommended for individuals aged 65 and older?,"Yes, routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years.+1","Yes, routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years for earlier detection of AF. This is supported by the context, which explicitly states: ""Routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years for earlier detection of AF."" The recommendation is classified as I C.","68, 60, 25, 60",0,0.411,0.2632,0.9375,0.2632,0.2565,0.2425,0.4324,0.4167,0.4324,0.8739,0.8318,0.9204,0.8392,10,10,10,8.85,7.8
Which heart failure medication is recommended for AF patients regardless of LVEF?,Sodium-glucose cotransporter-2 (SGLT2) inhibitors.+2,"Dronedarone is recommended for AF patients regardless of left ventricular ejection fraction (LVEF) to reduce the risk of HF hospitalization and cardiovascular death. 

This is supported by the context stating: ""Dronedarone is recommended in patients with AF requiring long-term rhythm control, including those with HFmrEF, HFpEF, irrespective of left ventricular ejection fraction..."" 

Thus, the heart failure medication recommended for AF patients regardless of LVEF is **dronedarone**.","28, 37, 67, 25",0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.6862,0.655,0.7206,0.1979,1,10,0,12.87,8.16
What should be done if a left atrial thrombus is detected prior to a planned cardioversion?,"Therapeutic anticoagulation should be instituted for a minimum of 4 weeks, followed by a repeat TOE to ensure resolution.","If a left atrial thrombus is detected prior to a planned cardioversion, therapeutic anticoagulation should be initiated as soon as possible to prevent procedure-related thromboembolism. Additionally, repeat transoesophageal echocardiography should be considered to ensure thrombus resolution and prevent peri-procedural thromboembolism. The patient should also have at least 3 weeks of therapeutic oral anticoagulation (adherence to DOACs or INR ≥2.0 for VKAs) before cardioversion to reduce thromboembolic risk.","41, 49, 41, 66",0,0.3023,0.194,0.6842,0.194,0.1084,0.0488,0.2921,0.092,0.1798,0.8011,0.7423,0.8701,0.6227,9,8,7,14.14,8.2
Name two non-cardiac conditions associated with trigger-induced AF according to Table 14.,"Note: Table 14 title is ""Non-cardiac conditions associated with trigger-induced AF"" . Specific examples include infections (sepsis) or potentially reversible factors.+2","I cannot provide specific non-cardiac conditions associated with trigger-induced AF because the content provided does not list or name any specific conditions in Table 14. Although the context mentions that Table 14 contains non-cardiac conditions associated with trigger-induced AF, no actual examples or names of such conditions are included in the given text.

Therefore, based on the information available, I do not know the exact conditions.

Answer: You don't know.","3, 14, 15, 19",0,0.2444,0.1571,0.55,0.1571,0.1169,0.0775,0.2857,0.1667,0.2449,0.8012,0.7916,0.811,0.8815,0,0,0,11.14,8.08
What is the recommended weight loss target for obese individuals with AF?,A target of 10% or more reduction in body weight.+2,The recommended weight loss target for obese individuals with atrial fibrillation (AF) is a 10% or more reduction in body weight.,"11, 65, 25, 62",0,0.5161,0.381,0.8,0.381,0.3086,0.2404,0.5625,0.4,0.5,0.8423,0.8083,0.8792,0.4948,10,10,10,3.83,7.83
Can a physician use a single-lead ECG to provide a definite diagnosis of AF?,"Yes, review of an ECG (12-lead, single, or multiple leads) by a physician is recommended for a definite diagnosis.+1","Yes, a physician can use a single-lead ECG to provide a definite diagnosis of atrial fibrillation (AF).

The context states: ""ECG documentation is required to initiate risk stratification and AF management... this task force continues to recommend that ECG documentation is required to initiate risk stratification and AF management. In current practice, ECG confirmation can include multiple options: not only where AF persists across a standard 12-lead ECG, but also single- and multiple-lead devices that provide an ECG.""

Additionally, Recommendation Table 1 specifies that ""confirmation by an electrocardiogram (12-lead, multiple, or single leads) is recommended to establish the diagnosis of clinical AF and commence risk stratification and treatment."" The class of recommendation is I A (strong recommendation, high level of evidence), indicating that a single-lead ECG is acceptable and sufficient for confirming the diagnosis of AF when used appropriately.

Therefore, yes—a physician can use a single-lead ECG to provide a definite diagnosis of AF.","60, 10, 14, 14",0,0.1965,0.1104,0.8947,0.1104,0.0537,0.0112,0.2198,0.0778,0.1648,0.804,0.7487,0.8681,0.7491,10,10,10,25.59,8.32
What are the symptoms of AF listed in Figure 1?,"Palpitations, shortness of breath, fainting (syncope), fatigue, chest pain, poor exercise capacity, anxiety, depressed mood, and dizziness.","The provided context does not list the symptoms of atrial fibrillation (AF) in Figure 1. While it mentions that AF is associated with serious adverse events and that heart failure is a common outcome, it does not specify the symptoms of AF itself. Therefore, based on the given text, I cannot identify the symptoms of AF listed in Figure 1. 

Answer: I don't know.","15, 19, 49, 3",0,0.0494,0.0312,0.1176,0.0312,0.0144,0.0059,0.0488,0.0,0.0488,0.7133,0.6799,0.7501,0.3616,0,0,0,9.96,8.13
Is it recommended to use a bleeding risk score to decide whether to withhold OAC?,"No, using bleeding risk scores to decide on starting or withdrawing OAC is not recommended.+2","No, it is not recommended to use a bleeding risk score to decide whether to withhold oral anticoagulation (OAC).

The context states: ""Use of bleeding risk scores to decide starting or withdrawing OAC is not recommended in patients with AF to avoid under-use of anticoagulation."" This is classified as Class III, which indicates that the recommendation is against using such scores for this purpose.

Therefore, the answer is: **No**.","35, 66, 34, 53",0,0.3095,0.1884,0.8667,0.1884,0.1579,0.1185,0.3256,0.2381,0.3256,0.841,0.7829,0.9085,0.8273,10,10,10,11.39,8.07
"What is the definition of ""Permanent AF"" according to the guidelines?","AF for which no further attempts at restoration of sinus rhythm are planned, after a shared decision between patient and physician.","According to the guidelines, permanent AF is defined as AF for which no further attempts at restoration of sinus rhythm are planned, after a shared decision between the patient and physician.","13, 13, 60, 13",0,0.8077,0.6774,1.0,0.6774,0.655,0.6059,0.8077,0.76,0.8077,0.9227,0.8944,0.9527,0.8034,10,10,10,4.68,7.48
"For patients undergoing cardiac surgery, when is surgical closure of the LAA recommended?",As an adjunct to oral anticoagulation in patients with AF undergoing cardiac surgery to prevent stroke.+1,Surgical closure of the left atrial appendage (LAA) is recommended as an adjunct to oral anticoagulation in patients with atrial fibrillation (AF) undergoing cardiac surgery to prevent ischaemic stroke and thromboembolism.,"11, 66, 47, 33",0,0.6383,0.4839,0.9375,0.4839,0.4579,0.3999,0.6667,0.5652,0.6667,0.8558,0.8079,0.9098,0.5857,10,10,10,6.85,7.59
