Query,Expected,Response,Pages,Exact Match,Token F1,Token P,Token R,BLEU-1,BLEU-2,BLEU-4,ROUGE-1,ROUGE-2,ROUGE-L,BERTScore F1,BERTScore P,BERTScore R,Semantic Similarity,Faithfulness,Answer Relevancy,Context Recall,Latency (s),Tokens/sec
Is routine heart rhythm assessment recommended for individuals aged 65 and older?,"Yes, routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years.+1","Yes, routine heart rhythm assessment during healthcare contact is recommended in all individuals aged ≥65 years for earlier detection of AF. (Page 61, I C)","61, 69, 59",0,0.7317,0.6,0.9375,0.6,0.5916,0.5731,0.7619,0.75,0.7619,0.9226,0.8862,0.962,0.8093,9,10,10,10.42,3.26
Which heart failure medication is recommended for AF patients regardless of LVEF?,Sodium-glucose cotransporter-2 (SGLT2) inhibitors.+2,"According to the provided context, sodium-glucose cotransporter-2 inhibitors are recommended for patients with HF and AF regardless of left ventricular ejection fraction (LVEF) to reduce the risk of HF hospitalization and cardiovascular death.","26, 66, 43, 22, 21",0,0.1081,0.0606,0.5,0.0606,0.0435,0.0188,0.2381,0.15,0.2381,0.8029,0.7382,0.88,0.5611,9,10,10,11.9,4.2
What should be done if a left atrial thrombus is detected prior to a planned cardioversion?,"Therapeutic anticoagulation should be instituted for a minimum of 4 weeks, followed by a repeat TOE to ensure resolution.","According to the text, if a left atrial thrombus is detected prior to a planned cardioversion, therapeutic anticoagulation should be instituted for a minimum of 4 weeks followed by repeat TOE to ensure thrombus resolution.","50, 42, 46, 48",0,0.7037,0.5429,1.0,0.5429,0.4894,0.4244,0.7037,0.5769,0.6667,0.9026,0.8469,0.9663,0.7566,9,10,10,11.88,4.13
Name two non-cardiac conditions associated with trigger-induced AF according to Table 14.,"Note: Table 14 title is ""Non-cardiac conditions associated with trigger-induced AF"" . Specific examples include infections (sepsis) or potentially reversible factors.+2","According to Table 14, the two non-cardiac conditions associated with trigger-induced AF are:

1. Sleep apnea (54)
2. Chronic kidney disease (54)","4, 17, 19",0,0.381,0.3636,0.4,0.3636,0.3223,0.2393,0.4681,0.3556,0.4681,0.8219,0.818,0.826,0.8325,9,10,10,9.88,3.74
What is the recommended weight loss target for obese individuals with AF?,A target of 10% or more reduction in body weight.+2,"According to the provided text, the recommended weight loss target for obese individuals with AF is a reduction of 10% or more in body weight.","12, 26, 11",0,0.5143,0.36,0.9,0.36,0.2449,0.1241,0.5556,0.2941,0.4444,0.843,0.8137,0.8745,0.6355,9,10,10,9.95,3.12
Can a physician use a single-lead ECG to provide a definite diagnosis of AF?,"Yes, review of an ECG (12-lead, single, or multiple leads) by a physician is recommended for a definite diagnosis.+1","According to the provided context, a physician can use a single-lead ECG to provide a definite diagnosis of AF. This is recommended on page 69 and 12, and also mentioned in Recommendation Table 1 and Table 4. The level of evidence is I B, indicating that the recommendation is based on high-quality evidence.","69, 11, 61, 12, 15",0,0.2222,0.1509,0.4211,0.1509,0.0933,0.0228,0.3421,0.1081,0.1579,0.8125,0.7837,0.8435,0.7236,9,10,10,13.79,5.0
What are the symptoms of AF listed in Figure 1?,"Palpitations, shortness of breath, fainting (syncope), fatigue, chest pain, poor exercise capacity, anxiety, depressed mood, and dizziness.","According to Figure 1, the symptoms of AF are:

1. None (AF does not cause any symptoms)
2. Mild: Normal daily activity not affected by symptoms related to AF
3. Moderate: Normal daily activity not affected by symptoms related to AF, but patient troubled by symptoms
4. Severe: Normal daily activity affected by symptoms related to AF","16, 15, 20, 17, 50",0,0.027,0.0175,0.0588,0.0175,0.0113,0.0054,0.027,0.0,0.027,0.6923,0.6728,0.713,0.3059,9,8,10,15.21,4.93
Is it recommended to use a bleeding risk score to decide whether to withhold OAC?,"No, using bleeding risk scores to decide on starting or withdrawing OAC is not recommended.+2","No, it is not recommended to use a bleeding risk score to decide whether to withhold OAC in patients with atrial fibrillation (AF) to avoid under-use of anticoagulation.","35, 67, 12",0,0.3721,0.2857,0.5333,0.2857,0.1782,0.0406,0.4889,0.2791,0.3556,0.8455,0.8121,0.8818,0.7622,0,0,0,9.82,4.17
"What is the definition of ""Permanent AF"" according to the guidelines?","AF for which no further attempts at restoration of sinus rhythm are planned, after a shared decision between patient and physician.","According to the guidelines, Permanent AF is defined as ""AF for which no further attempts at restoration of sinus rhythm are planned, after a shared decision between the patient and physician.""","14, 13, 4",0,0.8077,0.6774,1.0,0.6774,0.655,0.6059,0.8077,0.76,0.8077,0.9085,0.8728,0.9471,0.794,0,0,0,9.62,3.85
"For patients undergoing cardiac surgery, when is surgical closure of the LAA recommended?",As an adjunct to oral anticoagulation in patients with AF undergoing cardiac surgery to prevent stroke.+1,"According to the provided context, surgical closure of the left atrial appendage (LAA) is recommended as an adjunct to oral anticoagulation in patients with atrial fibrillation (AF) undergoing cardiac surgery to prevent ischaemic stroke and thromboembolism (Recommendation Table 11, Page 35).","12, 35, 48, 34, 11",0,0.5263,0.3659,0.9375,0.3659,0.3448,0.2985,0.5517,0.4643,0.5517,0.8395,0.7756,0.9149,0.5635,9,10,10,14.1,4.82
